2020-03-02 13:34:43,266 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /127.0.0.1:49551
2020-03-02 13:34:43,268 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x1000004a68a0001 with negotiated timeout 4000 for client /127.0.0.1:49551
2020-03-02 13:35:56,380 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x1000004a68a0001, likely client has closed socket
2020-03-02 13:35:56,381 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /127.0.0.1:49551 which had sessionid 0x1000004a68a0001
2020-03-02 13:36:00,738 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x1000004a68a0001, timeout of 4000ms exceeded
2020-03-02 13:36:00,738 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1000004a68a0001
2020-03-02 13:39:45,611 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /0:0:0:0:0:0:0:1:49573
2020-03-02 13:39:45,620 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /0:0:0:0:0:0:0:1:49573
2020-03-02 13:39:45,622 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x1000004a68a0002 with negotiated timeout 4000 for client /0:0:0:0:0:0:0:1:49573
2020-03-02 13:41:50,726 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x1000004a68a0002, likely client has closed socket
2020-03-02 13:41:50,727 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /0:0:0:0:0:0:0:1:49573 which had sessionid 0x1000004a68a0002
2020-03-02 13:41:52,201 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@215] - Accepted socket connection from /0:0:0:0:0:0:0:1:49591
2020-03-02 13:41:52,211 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@938] - Client attempting to establish new session at /0:0:0:0:0:0:0:1:49591
2020-03-02 13:41:52,213 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@683] - Established session 0x1000004a68a0003 with negotiated timeout 4000 for client /0:0:0:0:0:0:0:1:49591
2020-03-02 13:41:54,737 [myid:] - INFO  [SessionTracker:ZooKeeperServer@354] - Expiring session 0x1000004a68a0002, timeout of 4000ms exceeded
2020-03-02 13:41:54,737 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1000004a68a0002
2020-03-02 13:45:31,012 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x1000004a68a0003, likely client has closed socket
2020-03-02 13:45:31,013 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1040] - Closed socket connection for client /0:0:0:0:0:0:0:1:49591 which had sessionid 0x1000004a68a0003
